Fx_N,Fy_N,Fz_N,Fx_BW,Fy_BW,Fz_BW
105.717,-0.4772184,627.3742,0.1436860346585117,-0.000648614882772681,0.8527002378525314
105.8368,-1.703717,629.9126,0.14384886170574243,-0.002315619435949711,0.856150322799864
105.9464,-2.98966,632.2061,0.14399782534828406,-0.004063418280665987,0.8592675501189263
106.072,-4.356495,634.266,0.14416853550798506,-0.005921162079510703,0.8620672782874618
106.2469,-5.799552,636.1353,0.1444062521236833,-0.007882503567787972,0.8646079510703364
106.5008,-7.29512,637.8767,0.14475134216785593,-0.009915215766224941,0.8669747876316684
106.8534,-8.815123,639.5557,0.14523058103975534,-0.01198113897383622,0.8692568127760788
107.3162,-10.34284,641.2242,0.14585959904858986,-0.01405754672103296,0.8715245667686035
107.8976,-11.88245,642.9106,0.14664981311586817,-0.016150118926265715,0.8738166496772002
108.6059,-13.45813,644.6192,0.14761250424736663,-0.018291715936119606,0.8761389058783554
109.4462,-15.10407,646.3368,0.14875460414542985,-0.02052880733944954,0.878473394495413
110.4123,-16.85005,648.0453,0.1500676860346585,-0.022901868841318382,0.8807955147808358
111.4804,-18.70717,649.7326,0.15151940197077812,-0.025425987088005437,0.8830888209310228
112.6088,-20.65791,651.3983,0.15305307509344207,-0.028077349643221203,0.8853527692830444
113.7451,-22.65574,653.0509,0.15459748555895345,-0.030792714916751614,0.8875989126741419
114.8407,-24.63716,654.6951,0.1560865783214407,-0.03348577641862046,0.8898336391437309
115.8643,-26.54239,656.3169,0.15747781175671083,-0.036075283724091065,0.8920379204892966
116.8114,-28.33457,657.8706,0.15876506965681278,-0.038511138294257556,0.8941496432212028
117.7021,-30.00872,659.2761,0.15997567108392796,-0.0407865715256541,0.8960599388379206
118.5702,-31.58795,660.433,0.16115555555555555,-0.04293299354400272,0.8976323479442745
119.4486,-33.11151,661.2461,0.16234943934760449,-0.04500375127421,0.8987374787631668
120.3562,-34.62102,661.6553,0.16358301053346924,-0.0470554128440367,0.8992936459395175
121.2899,-36.14809,661.6539,0.16485205572545023,-0.04913094121644581,0.8992917431192661
122.2226,-37.70452,661.2882,0.16611974176010874,-0.051246374447842344,0.8987946992864424
123.1076,-39.27792,660.6365,0.1673225959904859,-0.05338487257900102,0.8979089364593951
