trial,model_kind,window_ms,rmse_%BW,mae_%BW,sensortag,metrics_path,outdir,subject,task,lag_ms,lag_ms_num,suspect_lag,rmse_num
AB02_lift_weight_1_25lbs-l-l,hgb,300,48.702785769142665,21.35241827516164,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-l_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-l_rshank_hgb_w300,AB02,lift,,,True,48.702785769142665
AB01_jump_2_180,hgb,300,46.02030565519204,15.16618697572662,rathigh,E:\safestride\out_grid\AB01\AB01_jump_2_180_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_rathigh_hgb_w300,AB01,jump,,,True,46.02030565519204
AB01_stairs_1_1_up,hgb,300,45.34637258765615,20.110001678751097,rpelvis,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rpelvis_hgb_w300,AB01,stairs,,,True,45.34637258765615
AB01_lift_weight_1_25lbs-l-l,hgb,300,44.44388593834704,19.846029863839064,rshank,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-l-l_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-l-l_rshank_hgb_w300,AB01,lift,,,True,44.44388593834704
AB02_lift_weight_1_25lbs-r-c,hgb,300,44.22332448866759,19.48951220487201,rshank,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-r-c_rshank_hgb_w300,AB02,lift,,,True,44.22332448866759
AB01_meander_1,hgb,300,42.952375239910445,20.550090737387546,lathigh,E:\safestride\out_grid\AB01\AB01_meander_1_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_lathigh_hgb_w300,AB01,meander,,,True,42.952375239910445
AB01_jump_2_180,hgb,300,42.75484599156718,13.6888142015229,lathigh,E:\safestride\out_grid\AB01\AB01_jump_2_180_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_lathigh_hgb_w300,AB01,jump,,,True,42.75484599156718
AB02_lift_weight_2_0lbs-l-c,hgb,300,42.23960423573956,18.84740342193469,rshank,E:\safestride\out_grid\AB02_lift_weight_2_0lbs-l-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_2_0lbs-l-c_rshank_hgb_w300,AB02,lift,,,True,42.23960423573956
AB01_meander_1,hgb,300,41.29479113356948,19.80469592544129,lshank,E:\safestride\out_grid\AB01\AB01_meander_1_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_lshank_hgb_w300,AB01,meander,,,True,41.29479113356948
AB01_stairs_1_7_up,hgb,300,41.11121942188332,18.56327845730109,lpthigh,E:\safestride\out_grid\AB01\AB01_stairs_1_7_up_lpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_7_up_lpthigh_hgb_w300,AB01,stairs,,,True,41.11121942188332
