subject,trial,sensors,model_kind,window_ms
AB01,AB01_stairs_1_9_up,thigh-shank,hgb,300
AB01,AB01_stairs_1_7_up,thigh-shank,hgb,300
AB01,AB01_stairs_1_5_up,thigh-shank,hgb,300
AB01,AB01_stairs_1_4_down,thigh-shank,hgb,300
AB01,AB01_stairs_1_3_up,thigh-shank,hgb,300
AB01,AB01_stairs_1_1_up,thigh-shank,hgb,300
AB01,AB01_stairs_1_10_down,thigh-shank,hgb,300
AB01,AB01_normal_walk_1_2-0,thigh-shank,hgb,300
AB01,AB01_meander_1,thigh-shank,hgb,300
AB01,AB01_lift_weight_2_0lbs-r-r,thigh-shank,hgb,300
AB01,AB01_lift_weight_2_0lbs-r-c,thigh-shank,hgb,300
AB01,AB01_lift_weight_1_25lbs-r-r,thigh-shank,hgb,300
AB01,AB01_lift_weight_1_25lbs-r-c,thigh-shank,hgb,300
AB01,AB01_lift_weight_1_25lbs-l-l,thigh-shank,hgb,300
AB01,AB01_jump_2_180,thigh-shank,hgb,300
AB01,AB01_jump_1_hop,thigh-shank,hgb,300
AB01,AB01_dynamic_walk_1_butt-kicks,thigh-shank,hgb,300
AB01,AB01_cutting_1_left-fast,thigh-shank,hgb,300
AB02,AB02_ball_toss_1_left,thigh-shank,hgb,300
AB02,AB02_cutting_1_left-fast,thigh-shank,hgb,300
AB02,AB02_cutting_1_left-slow,thigh-shank,hgb,300
AB02,AB02_cutting_1_right-fast,thigh-shank,hgb,300
AB02,AB02_cutting_1_right-slow,thigh-shank,hgb,300
AB02,AB02_jump_1_2_hop,thigh-shank,hgb,300
AB02,AB02_jump_1_2_vertical,thigh-shank,hgb,300
AB02,AB02_lift_weight_1_25lbs-l-c,thigh-shank,hgb,300
AB02,AB02_lift_weight_1_25lbs-l-l,thigh-shank,hgb,300
AB02,AB02_lift_weight_1_25lbs-r-c,thigh-shank,hgb,300
AB02,AB02_lift_weight_1_25lbs-r-r,thigh-shank,hgb,300
AB02,AB02_lift_weight_2_0lbs-l-c,thigh-shank,hgb,300
