subject,trial,sensors,model_kind,window_ms
AB01,AB01_turn_and_step_1_left-turn,thigh-shank,hgb,300
AB01,AB01_tire_run_1,thigh-shank,hgb,300
AB01,AB01_curb_up_1,thigh-shank,hgb,300
AB01,AB01_tire_run_1,thigh-shank,hgb,300
AB01,AB01_step_ups_2_right,thigh-shank,hgb,300
AB01,AB01_tire_run_1,thigh-shank,hgb,300
AB01,AB01_tire_run_1,thigh-shank,hgb,300
AB01,AB01_turn_and_step_1_left-turn,thigh-shank,hgb,300
AB01,AB01_turn_and_step_1_left-turn,thigh-shank,hgb,300
AB01,AB01_tire_run_1,thigh-shank,hgb,300
AB01,AB01_dynamic_walk_1_high-knees,thigh-shank,hgb,300
AB01,AB01_tire_run_1,thigh-shank,hgb,300
AB01,AB01_step_ups_2_left,thigh-shank,hgb,300
AB01,AB01_turn_and_step_1_left-turn,thigh-shank,hgb,300
AB01,AB01_tire_run_1,thigh-shank,hgb,300
AB01,AB01_turn_and_step_1_left-turn,thigh-shank,hgb,300
AB01,AB01_curb_down_1,thigh-shank,hgb,300
AB01,AB01_normal_walk_1_skip,thigh-shank,hgb,300
AB01,AB01_tire_run_1,thigh-shank,hgb,300
AB01,AB01_cutting_1_right-fast,thigh-shank,hgb,300
