"trial","reason"
"P07_S01_TUG_02","task_filter"
"P07_S01_TUG_01","task_filter"
"P07_S01_Static_01","task_filter"
"P07_S01_CalibrationTask_04","task_filter"
"P07_S01_CalibrationTask_05","task_filter"
"P07_S01_CalibrationTask_03","task_filter"
"P07_S01_Sitting_01","task_filter"
"P07_S01_Synchronization_01","task_filter"
"P07_S01_Synchronization_03","task_filter"
"P07_S01_SitToStand_01","task_filter"
"P07_S01_Synchronization_05","task_filter"
"P07_S01_Synchronization_04","task_filter"
"P07_S01_CalibrationTask_02","task_filter"
"P07_S01_Synchronization_02","task_filter"
"P07_S01_CalibrationTask_01","task_filter"
"P07_S01_SitToStand_02","task_filter"
"P04_S01_Synchronization_01","task_filter"
"P04_S01_CalibrationTask_01","task_filter"
"P04_S01_SitToStand_02","task_filter"
"P04_S01_CalibrationTask_02","task_filter"
"P04_S01_Static_01","task_filter"
"P04_S01_TUG_01","task_filter"
"P04_S01_CalibrationTask_04","task_filter"
"P04_S01_TUG_02","task_filter"
"P04_S01_CalibrationTask_03","task_filter"
"P04_S01_Synchronization_03","task_filter"
"P04_S01_Synchronization_02","task_filter"
"P04_S01_Synchronization_04","task_filter"
"P04_S01_SitToStand_01","task_filter"
"P04_S01_CalibrationTask_05","task_filter"
"P04_S01_Sitting_01","task_filter"
"P04_S01_Synchronization_05","task_filter"
"P05_S01_SitToStand_01","task_filter"
"P05_S01_Synchronization_03","task_filter"
"P05_S01_Synchronization_01","task_filter"
"P05_S01_CalibrationTask_03","task_filter"
"P05_S01_Synchronization_05","task_filter"
"P05_S01_Synchronization_04","task_filter"
"P05_S01_CalibrationTask_05","task_filter"
"P05_S01_CalibrationTask_01","task_filter"
"P05_S01_TUG_02","task_filter"
"P05_S01_Synchronization_02","task_filter"
"P05_S01_CalibrationTask_04","task_filter"
"P05_S01_TUG_01","task_filter"
"P05_S01_CalibrationTask_02","task_filter"
"P05_S01_Static_01","task_filter"
"P05_S01_Sitting_01","task_filter"
"P06_S01_Synchronization_05","task_filter"
"P06_S01_Synchronization_02","task_filter"
"P06_S01_Synchronization_03","task_filter"
"P06_S01_Sitting_01","task_filter"
"P06_S01_SitToStand_01","task_filter"
"P06_S01_CalibrationTask_03","task_filter"
"P06_S01_TUG_02","task_filter"
"P06_S01_CalibrationTask_05","task_filter"
"P06_S01_CalibrationTask_01","task_filter"
"P06_S01_CalibrationTask_02","task_filter"
"P06_S01_Static_01","task_filter"
"P06_S01_CalibrationTask_04","task_filter"
"P06_S01_Synchronization_04","task_filter"
"P06_S01_SitToStand_02","task_filter"
"P06_S01_Synchronization_01","task_filter"
"P06_S01_TUG_01","task_filter"
"P03_S01_CalibrationTask_01","task_filter"
"P03_S01_CalibrationTask_03","task_filter"
"P03_S01_TUG_02","task_filter"
"P03_S01_SitToStand_01","task_filter"
"P03_S01_Static_01","task_filter"
"P03_S01_CalibrationTask_02","task_filter"
"P03_S01_CalibrationTask_04","task_filter"
"P03_S01_SitToStand_02","task_filter"
"P03_S01_Synchronization_02","task_filter"
"P03_S01_Synchronization_01","task_filter"
"P03_S01_TUG_01","task_filter"
"P03_S01_Sitting_01","task_filter"
"P03_S01_CalibrationTask_05","task_filter"
"P03_S01_Synchronization_05","task_filter"
"P03_S01_Synchronization_04","task_filter"
"P03_S01_Synchronization_03","task_filter"
"P01_S01_TUG_01","task_filter"
"P01_S01_Synchronization_02","task_filter"
"P01_S01_TUG_02","task_filter"
"P01_S01_CalibrationTask_02","task_filter"
"P01_S01_Synchronization_01","task_filter"
"P01_S01_Sitting_01","task_filter"
"P01_S01_CalibrationTask_03","task_filter"
"P01_S01_CalibrationTask_05","task_filter"
"P01_S01_CalibrationTask_04","task_filter"
"P01_S01_Static_01","task_filter"
"P01_S01_CalibrationTask_01","task_filter"
"P10_S01_Synchronization_03","task_filter"
"P10_S01_Static_01","task_filter"
"P10_S01_SitToStand_01","task_filter"
"P10_S01_SitToStand_02","task_filter"
"P10_S01_Synchronization_05","task_filter"
"P10_S01_TUG_01","task_filter"
"P10_S01_CalibrationTask_02","task_filter"
"P10_S01_Sitting_01","task_filter"
"P10_S01_CalibrationTask_01","task_filter"
"P10_S01_Synchronization_01","task_filter"
"P10_S01_Synchronization_04","task_filter"
"P10_S01_TUG_02","task_filter"
"P10_S01_CalibrationTask_05","task_filter"
"P10_S01_CalibrationTask_04","task_filter"
"P10_S01_Synchronization_02","task_filter"
"P10_S01_CalibrationTask_03","task_filter"
"P08_S01_Synchronization_05","task_filter"
"P08_S01_TUG_02","task_filter"
"P08_S01_CalibrationTask_04","task_filter"
"P08_S01_Synchronization_03","task_filter"
"P08_S01_Sitting_01","task_filter"
"P08_S01_Synchronization_04","task_filter"
"P08_S01_SitToStand_02","task_filter"
"P08_S01_Static_01","task_filter"
"P08_S01_CalibrationTask_03","task_filter"
"P08_S01_TUG_01","task_filter"
"P08_S01_Synchronization_01","task_filter"
"P08_S01_CalibrationTask_05","task_filter"
"P08_S01_CalibrationTask_01","task_filter"
"P08_S01_Synchronization_02","task_filter"
"P08_S01_CalibrationTask_02","task_filter"
"P08_S01_SitToStand_01","task_filter"
"P02_S01_CalibrationTask_04","task_filter"
"P02_S01_Synchronization_03","task_filter"
"P02_S01_SitToStand_01","task_filter"
"P02_S01_CalibrationTask_05","task_filter"
"P02_S01_Static_01","task_filter"
"P02_S01_CalibrationTask_03","task_filter"
"P02_S01_Sitting_01","task_filter"
"P02_S01_TUG_02","task_filter"
"P02_S01_TUG_01","task_filter"
"P02_S01_Synchronization_02","task_filter"
"P02_S01_Synchronization_01","task_filter"
"P02_S01_CalibrationTask_02","task_filter"
"P02_S01_CalibrationTask_01","task_filter"
"P09_S01_SitToStand_02","task_filter"
"P09_S01_CalibrationTask_01","task_filter"
"P09_S01_TUG_01","task_filter"
"P09_S01_CalibrationTask_05","task_filter"
"P09_S01_Synchronization_02","task_filter"
"P09_S01_CalibrationTask_02","task_filter"
"P09_S01_Synchronization_05","task_filter"
"P09_S01_Sitting_01","task_filter"
"P09_S01_Synchronization_03","task_filter"
"P09_S01_CalibrationTask_04","task_filter"
"P09_S01_CalibrationTask_03","task_filter"
"P09_S01_Static_01","task_filter"
"P09_S01_Synchronization_04","task_filter"
"P09_S01_Synchronization_01","task_filter"
"P09_S01_SitToStand_01","task_filter"
"P09_S01_TUG_02","task_filter"
"P07_S01_Static_01","short_sequence"
"P07_S01_CalibrationTask_04","short_sequence"
"P07_S01_FastGait_02","short_sequence"
"P07_S01_CalibrationTask_05","short_sequence"
"P07_S01_CalibrationTask_03","short_sequence"
"P07_S01_Gait_01","short_sequence"
"P07_S01_Gait_03","short_sequence"
"P07_S01_FastGait_01","short_sequence"
"P07_S01_Sitting_01","short_sequence"
"P07_S01_Gait_06","short_sequence"
"P07_S01_Synchronization_01","short_sequence"
"P07_S01_Synchronization_03","short_sequence"
"P07_S01_SlowGait_02","short_sequence"
"P07_S01_Gait_08","short_sequence"
"P07_S01_SitToStand_01","short_sequence"
"P07_S01_Running_01","short_sequence"
"P07_S01_TUG_02","task_filter"
"P07_S01_TUG_01","task_filter"
"P07_S01_Static_01","task_filter"
"P07_S01_CalibrationTask_04","task_filter"
"P07_S01_CalibrationTask_05","task_filter"
"P07_S01_CalibrationTask_03","task_filter"
"P07_S01_Sitting_01","task_filter"
"P07_S01_Synchronization_01","task_filter"
"P07_S01_Synchronization_03","task_filter"
"P07_S01_SitToStand_01","task_filter"
"P07_S01_Synchronization_05","task_filter"
"P07_S01_Synchronization_04","task_filter"
"P07_S01_CalibrationTask_02","task_filter"
"P07_S01_Synchronization_02","task_filter"
"P07_S01_CalibrationTask_01","task_filter"
"P07_S01_SitToStand_02","task_filter"
"P04_S01_Synchronization_01","task_filter"
"P04_S01_CalibrationTask_01","task_filter"
"P04_S01_SitToStand_02","task_filter"
"P04_S01_CalibrationTask_02","task_filter"
"P04_S01_Static_01","task_filter"
"P04_S01_TUG_01","task_filter"
"P04_S01_CalibrationTask_04","task_filter"
"P04_S01_TUG_02","task_filter"
"P04_S01_CalibrationTask_03","task_filter"
"P04_S01_Synchronization_03","task_filter"
"P04_S01_Synchronization_02","task_filter"
"P04_S01_Synchronization_04","task_filter"
"P04_S01_SitToStand_01","task_filter"
"P04_S01_CalibrationTask_05","task_filter"
"P04_S01_Sitting_01","task_filter"
"P04_S01_Synchronization_05","task_filter"
"P05_S01_SitToStand_01","task_filter"
"P05_S01_Synchronization_03","task_filter"
"P05_S01_Synchronization_01","task_filter"
"P05_S01_CalibrationTask_03","task_filter"
"P05_S01_Synchronization_05","task_filter"
"P05_S01_Synchronization_04","task_filter"
"P05_S01_CalibrationTask_05","task_filter"
"P05_S01_CalibrationTask_01","task_filter"
"P05_S01_TUG_02","task_filter"
"P05_S01_Synchronization_02","task_filter"
"P05_S01_CalibrationTask_04","task_filter"
"P05_S01_TUG_01","task_filter"
"P05_S01_CalibrationTask_02","task_filter"
"P05_S01_Static_01","task_filter"
"P05_S01_Sitting_01","task_filter"
"P06_S01_Synchronization_05","task_filter"
"P06_S01_Synchronization_02","task_filter"
"P06_S01_Synchronization_03","task_filter"
"P06_S01_Sitting_01","task_filter"
"P06_S01_SitToStand_01","task_filter"
"P06_S01_CalibrationTask_03","task_filter"
"P06_S01_TUG_02","task_filter"
"P06_S01_CalibrationTask_05","task_filter"
"P06_S01_CalibrationTask_01","task_filter"
"P06_S01_CalibrationTask_02","task_filter"
"P06_S01_Static_01","task_filter"
