subject,trial,sensors,model_kind,window_ms,rmse_%BW,mae_%BW,metrics_json_path,outdir,lag_samples,lag_ms,within_cap,path
AB01,AB01_weighted_walk_1_25lbs,lpthigh,ridge,400,26.52023000934662,19.229625315039147,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_ridge_w400,,,,
AB01,AB01_turn_and_step_1_right-turn,lathigh,ridge,200,25.15020569389419,16.069669430678303,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_ridge_w200,,,,
AB01,AB01_turn_and_step_1_right-turn,rathigh,ridge,400,27.938170105664344,21.085173940644165,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w400,,,,
AB01,AB01_turn_and_step_1_right-turn,rathigh,ridge,300,29.77225090204876,22.15502895728092,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w300,,,,
AB01,AB01_turn_and_step_1_right-turn,rathigh,ridge,200,32.27821799279295,23.73332155993792,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w200,,,,
AB01,AB01_turn_and_step_1_right-turn,lpthigh,ridge,400,27.902529085071706,19.825532275266543,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w400,,,,
AB01,AB01_turn_and_step_1_right-turn,lpthigh,ridge,300,29.454385680443416,21.250595073389945,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w300,,,,
AB01,AB01_turn_and_step_1_right-turn,lpthigh,ridge,200,30.62344865896668,22.747959325134502,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w200,,,,
AB01,AB01_turn_and_step_1_right-turn,rpthigh,ridge,400,38.11997336833418,26.25911959202281,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rpthigh_ridge_w400,,,,
AB01,AB01_turn_and_step_1_right-turn,rpthigh,ridge,300,35.50296539095101,25.53165137801076,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rpthigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rpthigh_ridge_w300,,,,
AB01,AB01_turn_and_step_1_right-turn,rpthigh,ridge,200,37.12500733822988,26.163689131236232,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rpthigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rpthigh_ridge_w200,,,,
AB01,AB01_turn_and_step_1_right-turn,rshank,ridge,400,27.32687864549952,20.801155933170136,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rshank_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rshank_ridge_w400,,,,
AB01,AB01_turn_and_step_1_right-turn,rshank,ridge,300,27.663785209399148,20.69455409311057,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rshank_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rshank_ridge_w300,,,,
AB01,AB01_turn_and_step_1_right-turn,rshank,ridge,200,28.41250438815077,21.53368863670212,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rshank_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rshank_ridge_w200,,,,
AB01,AB01_turn_and_step_1_right-turn,lpelvis,ridge,200,25.81084018057412,15.76064012628438,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpelvis_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpelvis_ridge_w200,,,,
AB01,AB01_turn_and_step_1_left-turn,lathigh,ridge,300,25.49796930902181,17.499185820439624,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lathigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lathigh_ridge_w300,,,,
AB01,AB01_turn_and_step_1_left-turn,lathigh,ridge,200,25.672614330834985,17.72147875511983,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lathigh_ridge_w200,,,,
AB01,AB01_turn_and_step_1_left-turn,lpthigh,ridge,400,26.23924427778092,19.588931134506147,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lpthigh_ridge_w400,,,,
AB01,AB01_turn_and_step_1_left-turn,lpthigh,ridge,300,28.177836383560383,21.290302165918984,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lpthigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lpthigh_ridge_w300,,,,
AB01,AB01_turn_and_step_1_left-turn,lpthigh,ridge,200,30.237432918140453,22.97914430289348,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lpthigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lpthigh_ridge_w200,,,,
AB01,AB01_turn_and_step_1_left-turn,rshank,ridge,400,42.899982050180746,34.154914946157184,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rshank_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rshank_ridge_w400,,,,
AB01,AB01_turn_and_step_1_left-turn,rshank,ridge,300,43.65070976623041,36.46423862241643,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rshank_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rshank_ridge_w300,,,,
AB01,AB01_turn_and_step_1_left-turn,rshank,ridge,200,44.52151961151059,38.98077099720707,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rshank_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rshank_ridge_w200,,,,
AB01,AB01_tire_run_1,lathigh,ridge,400,45.45671768430997,37.25291411427399,E:\safestride\out_grid\AB01\AB01_tire_run_1_lathigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_tire_run_1_lathigh_ridge_w400,,,,
AB01,AB01_tire_run_1,lathigh,ridge,300,50.37253547746332,42.22441452785984,E:\safestride\out_grid\AB01\AB01_tire_run_1_lathigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_tire_run_1_lathigh_ridge_w300,,,,
AB01,AB01_tire_run_1,lathigh,ridge,200,43.614943781898326,35.54615153382545,E:\safestride\out_grid\AB01\AB01_tire_run_1_lathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_tire_run_1_lathigh_ridge_w200,,,,
AB01,AB01_tire_run_1,rathigh,ridge,400,41.60702578890149,33.57554506498227,E:\safestride\out_grid\AB01\AB01_tire_run_1_rathigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_tire_run_1_rathigh_ridge_w400,,,,
AB01,AB01_tire_run_1,rathigh,ridge,300,50.04378577619193,41.87301853265645,E:\safestride\out_grid\AB01\AB01_tire_run_1_rathigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_tire_run_1_rathigh_ridge_w300,,,,
AB01,AB01_tire_run_1,rathigh,ridge,200,44.38125645895145,36.73115832892603,E:\safestride\out_grid\AB01\AB01_tire_run_1_rathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_tire_run_1_rathigh_ridge_w200,,,,
AB01,AB01_tire_run_1,lpthigh,ridge,400,33.344857137602695,26.20762366022596,E:\safestride\out_grid\AB01\AB01_tire_run_1_lpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_tire_run_1_lpthigh_ridge_w400,,,,
AB01,AB01_tire_run_1,lpthigh,ridge,300,37.05104343702461,29.636887575795427,E:\safestride\out_grid\AB01\AB01_tire_run_1_lpthigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_tire_run_1_lpthigh_ridge_w300,,,,
