trial,sensortag,model_kind,window_ms,rmse_%BW,mae_%BW,rmse_N,mae_N,metrics_path,outdir,issues
AB01_weighted_walk_1_25lbs,lpthigh,ridge,400,26.52023000934662,19.229625315039147,205.19887014709445,148.7882038205299,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_ridge_w400,RMSE_HIGH
AB01_weighted_walk_1_25lbs,lpthigh,ridge,300,24.93166684441241,16.6954147395874,192.90744709054823,129.1798841862641,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_ridge_w300,RMSE_HIGH
AB01_weighted_walk_1_25lbs,lpthigh,ridge,200,23.452633442237605,15.85777922935342,181.463504751846,122.69872394615604,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_ridge_w200,RMSE_HIGH
AB01_weighted_walk_1_25lbs,lpelvis,ridge,400,21.92713016652645,15.892547207062462,169.66000423653003,122.96773932576174,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpelvis_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpelvis_ridge_w400,RMSE_HIGH
AB01_weighted_walk_1_25lbs,lpelvis,ridge,300,21.01510555354958,14.840389292492084,162.60326226772972,114.8267233839666,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpelvis_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpelvis_ridge_w300,RMSE_HIGH
AB01_weighted_walk_1_25lbs,lpelvis,ridge,200,20.127214748892403,12.972043268647246,155.73325435809107,100.37049532705836,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpelvis_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpelvis_ridge_w200,RMSE_HIGH
AB01_walk_backward_2_1-0,rathigh,ridge,200,20.026683902289243,14.218378457079652,154.9554022757136,110.0139476048388,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_rathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_rathigh_ridge_w200,RMSE_HIGH
AB01_walk_backward_2_1-0,lpthigh,ridge,400,20.30992260811137,15.7023338051186,157.14694670787514,121.49597323806344,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_lpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_lpthigh_ridge_w400,RMSE_HIGH
AB01_walk_backward_1_0-6,rathigh,ridge,200,21.361557336506102,15.852429538211515,165.2839145244436,122.65733099528164,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_rathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_rathigh_ridge_w200,RMSE_HIGH
AB01_turn_and_step_1_right-turn,lathigh,ridge,400,24.94311743191797,15.833141534395438,192.99604540277377,122.50809109091216,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_ridge_w400,RMSE_HIGH
AB01_turn_and_step_1_right-turn,lathigh,ridge,300,24.36454370434283,15.788782292293886,188.5193619368548,122.16486381284513,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_ridge_w300,RMSE_HIGH
AB01_turn_and_step_1_right-turn,lathigh,ridge,200,25.15020569389419,16.069669430678303,194.59837982307369,124.33821311694312,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_ridge_w200,RMSE_HIGH
AB01_turn_and_step_1_right-turn,lathigh,hgb,200,21.04596761071723,6.896221668569414,162.84205579474607,53.35914862637416,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_hgb_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lathigh_hgb_w200,RMSE_HIGH
AB01_turn_and_step_1_right-turn,rathigh,ridge,400,27.938170105664344,21.085173940644165,216.1701062788368,163.14541268873927,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w400,RMSE_HIGH
AB01_turn_and_step_1_right-turn,rathigh,ridge,300,29.77225090204876,22.15502895728092,230.3612089594668,171.423359017172,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w300,RMSE_HIGH
AB01_turn_and_step_1_right-turn,rathigh,ridge,200,32.27821799279295,23.73332155993792,249.7509961319492,183.63531414397875,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rathigh_ridge_w200,RMSE_HIGH
AB01_turn_and_step_1_right-turn,lpthigh,ridge,400,27.902529085071706,19.825532275266543,215.89433577632144,153.39900225283446,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w400,RMSE_HIGH
AB01_turn_and_step_1_right-turn,lpthigh,ridge,300,29.454385680443416,21.250595073389945,227.901743701832,164.42534991122653,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w300,RMSE_HIGH
AB01_turn_and_step_1_right-turn,lpthigh,ridge,200,30.623448658966677,22.747959325134502,236.9473063624584,176.01112622419012,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w200\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_lpthigh_ridge_w200,RMSE_HIGH
AB01_turn_and_step_1_right-turn,rpthigh,ridge,400,38.11997336833418,26.25911959202281,294.9512678609012,203.17854217107012,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rpthigh_ridge_w400\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_right-turn_rpthigh_ridge_w400,RMSE_HIGH
