subject,trial,task,sensortag,rmse_%BW,mae_%BW,window_ms,bw_kg,outdir,fz_mean,fz_std,fz_min,fz_max,fz_ptp,fz_absmean,fz_p95,fz_p05
AB01,AB01_ball_toss_1_center,ball,rpelvis,2.720672620212199,1.062715297809174,300,78.9,E:\safestride\out_grid\AB01\AB01_ball_toss_1_center_rpelvis_hgb_w300,890.0621471391311,299.6918405713625,356.2233926544281,1345.9392028488676,989.7158101944394,890.0621471391311,1283.3421354868262,425.85526097421916
AB01,AB01_weighted_walk_1_25lbs,weighted,lathigh,4.183287530380612,1.394458567792292,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lathigh_hgb_w300,443.90583879507517,387.9291117109902,-126.4323237476115,1011.916294360266,1138.3486181078774,446.5969584995808,925.109331175712,-7.955552764305854
AB01,AB01_weighted_walk_1_25lbs,weighted,rathigh,9.032067245208866,2.9927345859719723,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_rathigh_hgb_w300,437.51955779749824,386.7093060852545,-165.52636784031984,1012.4705455922888,1177.9969134326086,443.34636410380944,929.3718177253386,-17.800537081588665
AB01,AB01_weighted_walk_1_25lbs,weighted,lpthigh,8.921422770720778,2.9964062457317358,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_hgb_w300,428.7211127755667,385.3550154188381,-123.80603472921948,1012.2689731925492,1136.0750079217687,433.6390068498423,928.0241681136306,-17.182948788582227
AB01,AB01_weighted_walk_1_25lbs,weighted,rpthigh,4.852161069996376,1.6619395406469568,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_rpthigh_hgb_w300,443.9678699674827,385.7836676689472,-89.95457035661848,1012.6794026747988,1102.6339730314173,447.80333707859893,923.2787868744894,-12.843820774141994
AB01,AB01_weighted_walk_1_25lbs,weighted,lshank,4.568476305500951,1.5778344703617495,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lshank_hgb_w300,438.2786329213835,387.00431452821795,-118.23269595484084,1011.32279530913,1129.555491263971,442.38277958599144,917.2635136277072,-10.135367275340142
AB01,AB01_weighted_walk_1_25lbs,weighted,rshank,3.985386302618239,1.4956622119454888,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_rshank_hgb_w300,446.32516693544125,388.4001912476226,-49.27392316514232,1012.0166590105146,1061.290582175657,448.78298854425697,929.8660565841548,-8.384883107213346
AB01,AB01_weighted_walk_1_25lbs,weighted,lpelvis,9.90527303257075,3.2776818780683845,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpelvis_hgb_w300,428.5700909921438,385.167489945639,-184.19240638388467,1011.2616530977948,1195.4540594816795,434.6343170281635,921.9325407264504,-18.395647539068545
AB01,AB01_weighted_walk_1_25lbs,weighted,rpelvis,6.186080166367153,1.7404646347203092,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_rpelvis_hgb_w300,446.76923000135235,387.97748588714626,-65.0189400479423,1011.6337355434184,1076.6526755913608,449.14284860661144,924.19156497651,-8.32960304284896
AB01,AB01_walk_backward_2_1-0,walk,lathigh,7.217746220573861,2.022712360752729,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_lathigh_hgb_w300,385.8462350242128,351.38819844636726,-89.63267056739693,1081.897847157077,1171.5305177244738,390.2791708805332,915.3424014066971,-14.615535463575943
AB01,AB01_walk_backward_2_1-0,walk,rathigh,10.613190455936168,4.028025293459168,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_rathigh_hgb_w300,371.70239343750814,342.8862418433118,-130.16333319712928,1080.6011438636278,1210.7644770607571,377.48259919804667,904.4263131743757,-17.91120709903167
AB01,AB01_walk_backward_2_1-0,walk,lpthigh,6.288958368321616,2.513022994030641,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_lpthigh_hgb_w300,366.06416360039816,349.02746827625003,-136.967078619031,1080.717930952259,1217.68500957129,374.1334121944534,892.5887316103488,-24.391467272368605
AB01,AB01_walk_backward_2_1-0,walk,rpthigh,5.908307122214964,2.1928949969466918,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_rpthigh_hgb_w300,383.4744739647114,350.29325616729557,-156.7597912792887,1080.0674603842886,1236.8272516635773,388.5738987162793,906.9623664405894,-15.10755541097651
AB01,AB01_walk_backward_2_1-0,walk,lshank,5.788003493620413,1.4290209028161072,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_lshank_hgb_w300,385.6468933426257,351.7898004322726,-57.54602407806477,1081.8691667838968,1139.4151908619617,387.9119657144258,915.978438249994,-7.96900984118931
AB01,AB01_walk_backward_2_1-0,walk,rshank,9.501038280125607,2.6353480978791333,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_rshank_hgb_w300,381.9898819957976,350.0779862771485,-66.44185821861008,1080.6743073166783,1147.1161655352885,385.9137360482915,901.6371463182924,-14.092095679883558
AB01,AB01_walk_backward_2_1-0,walk,lpelvis,6.156125518503624,1.839518494807499,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_lpelvis_hgb_w300,383.2916565206878,352.54461926184746,-127.26187439502591,1080.8040332022094,1208.0659075972353,388.18198445318365,908.4495138900164,-14.457883723137387
AB01,AB01_walk_backward_2_1-0,walk,rpelvis,4.336093313155316,1.6008222643427092,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_rpelvis_hgb_w300,377.64802995178894,349.59489082283545,-73.15942242071887,1081.112054066448,1154.2714764871669,381.0364636291831,899.0941704115099,-10.363459883035995
AB01,AB01_walk_backward_2_0-8,walk,lathigh,8.899630572181927,2.287443605020566,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_lathigh_hgb_w300,395.13813873811205,350.25835026273705,-86.6744320740943,1034.5437365776772,1121.2181686517715,398.52464294072166,908.0577777844009,-11.42982353460636
AB01,AB01_walk_backward_2_0-8,walk,rathigh,9.645964388072516,3.333780189242066,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_rathigh_hgb_w300,383.6789039250244,346.8557157797919,-148.19932619128886,1035.7699350241264,1183.9692612154154,388.7610266505719,891.0558963518571,-17.08955729395984
AB01,AB01_walk_backward_2_0-8,walk,lpthigh,7.454316387768136,2.693048927641622,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_lpthigh_hgb_w300,374.341402090843,346.6532354097052,-108.7528395735624,1034.1384036954407,1142.891243269003,379.3418875043513,880.2654807988172,-16.221380880399682
AB01,AB01_walk_backward_2_0-8,walk,rpthigh,5.142375297723075,1.9166961098733413,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_rpthigh_hgb_w300,392.30604965865956,350.6337483578498,-131.09076100587788,1034.0418342383275,1165.1325952442053,395.7455395486865,899.4761772378745,-10.834960008407618
AB01,AB01_walk_backward_2_0-8,walk,lshank,6.912196649724074,1.5916243418428606,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_lshank_hgb_w300,391.0330957569992,351.3802188430719,-58.99782712996989,1034.511619283638,1093.509446413608,393.92739520714093,894.1177857642787,-9.75413559336568
AB01,AB01_walk_backward_2_0-8,walk,rshank,9.673901897494716,2.780443663937422,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_rshank_hgb_w300,383.3266226403291,350.27428476839964,-90.27245263000032,1036.676717991162,1126.9491706211622,387.94137356051937,887.845611706708,-15.7085647061048
AB01,AB01_walk_backward_2_0-8,walk,lpelvis,6.904851803560443,1.784999790484949,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_lpelvis_hgb_w300,388.1863777289118,351.6878282661344,-56.44384562471506,1034.0813262560998,1090.525171880815,391.16455656791203,901.5798510528464,-10.412140783345937
AB01,AB01_walk_backward_2_0-8,walk,rpelvis,10.272226840095737,2.96817836107936,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_rpelvis_hgb_w300,381.81481403715895,352.49225103446446,-104.58959383774678,1035.2285364009697,1139.8181302387165,387.5332123001306,888.891712014777,-18.73768726310213
AB01,AB01_walk_backward_1_0-6,walk,lathigh,7.300337900827292,1.916311474411312,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_lathigh_hgb_w300,378.813763213703,349.80597183507325,-60.52905742907748,1008.6557649553824,1069.18482238446,382.2973345165587,869.4095658956192,-12.526863026164438
AB01,AB01_walk_backward_1_0-6,walk,rathigh,13.845000338307596,3.907676376993847,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_rathigh_hgb_w300,381.42520060632125,348.4628701871744,-141.41466509505003,1008.3522675247666,1149.7669326198165,385.35741303323715,869.4190850038931,-14.971095531179408
AB01,AB01_walk_backward_1_0-6,walk,lpthigh,12.45663313396678,3.818576588385821,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_lpthigh_hgb_w300,382.06517232487084,346.07574470412317,-76.38850781337415,1009.1322355224338,1085.520743335808,386.8581627659032,852.600975903195,-16.61533782489361
AB01,AB01_walk_backward_1_0-6,walk,rpthigh,3.9492208622265066,1.250968045298658,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_rpthigh_hgb_w300,379.0213676111225,352.4458673159336,-47.3547699157685,1008.9427865127474,1056.297556428516,380.96064459164114,877.7177412803298,-6.794623018617716
AB01,AB01_walk_backward_1_0-6,walk,lshank,6.33937374029755,1.5944701665968846,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_lshank_hgb_w300,378.4877595853135,351.42023523056037,-59.57333442708169,1010.2139231580642,1069.7872575851459,381.05719823322386,884.9045431849215,-8.789693803516215
AB01,AB01_walk_backward_1_0-6,walk,rshank,13.455841023560367,3.7054901133399705,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_rshank_hgb_w300,380.7334151652491,350.1940855631843,-99.113648294802,1008.746865512556,1107.860513807358,384.2837052552499,869.8685396279382,-10.926535367495172
AB01,AB01_walk_backward_1_0-6,walk,lpelvis,6.7844898114405225,1.8155136125979603,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_lpelvis_hgb_w300,378.7595601577494,350.83455384138375,-63.541691096896514,1009.0374922838824,1072.5791833807789,382.6623300816691,879.440743083846,-12.91284914682294
AB01,AB01_walk_backward_1_0-6,walk,rpelvis,13.821453470195712,4.041700941582992,300,78.9,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_rpelvis_hgb_w300,381.8310405622038,348.0314215120794,-95.42045852901155,1008.77865689514,1104.1991154241516,387.4092207535226,857.0892344933766,-17.960039098011077
AB01,AB01_twister_1,twister,lathigh,3.3485858154350256,0.9221563645008636,300,78.9,E:\safestride\out_grid\AB01\AB01_twister_1_lathigh_hgb_w300,773.7246353085897,49.22171393205362,472.51955537632296,1343.1125523434123,870.5929969670893,773.7246353085897,846.9543572401751,702.3791060533571
AB01,AB01_twister_1,twister,rathigh,3.5685793828813064,0.9752031013876356,300,78.9,E:\safestride\out_grid\AB01\AB01_twister_1_rathigh_hgb_w300,773.9308806697203,49.68000707378269,466.8189937600416,1350.8736211565702,884.0546273965285,773.9308806697203,847.4813365212002,700.7006245534569
AB01,AB01_twister_1,twister,lpthigh,3.3323991072821117,0.9502692010056794,300,78.9,E:\safestride\out_grid\AB01\AB01_twister_1_lpthigh_hgb_w300,774.0585757185671,48.31306343148936,481.95604972291017,1340.3379085302752,858.381858807365,774.0585757185671,842.7537161244538,705.3973242480877
AB01,AB01_twister_1,twister,rpthigh,3.5771229863305947,0.990061734213591,300,78.9,E:\safestride\out_grid\AB01\AB01_twister_1_rpthigh_hgb_w300,772.7500538303026,48.94421011997164,473.6676458149648,1354.2069112480467,880.5392654330819,772.7500538303026,842.2913910968573,699.6973368201138
AB01,AB01_twister_1,twister,lshank,3.815238014724414,0.9938760409235904,300,78.9,E:\safestride\out_grid\AB01\AB01_twister_1_lshank_hgb_w300,773.446919270123,49.01450388207467,479.1514560810381,1351.8904399836017,872.7389839025636,773.446919270123,845.8755630962987,700.4707674321406
AB01,AB01_twister_1,twister,rshank,3.380927636740709,0.9963558517759166,300,78.9,E:\safestride\out_grid\AB01\AB01_twister_1_rshank_hgb_w300,774.0611874094018,49.03503135533284,485.6728741175728,1353.8084035506304,868.1355294330576,774.0611874094018,849.5477316096329,703.4238961821032
AB01,AB01_twister_1,twister,lpelvis,3.331935938358622,0.8927984359950598,300,78.9,E:\safestride\out_grid\AB01\AB01_twister_1_lpelvis_hgb_w300,773.5039210924203,48.690779537260624,470.1427138294902,1353.9806554505162,883.837941621026,773.5039210924203,841.9746718102285,702.0391927761735
AB01,AB01_twister_1,twister,rpelvis,3.607817338973982,0.9390935555362168,300,78.9,E:\safestride\out_grid\AB01\AB01_twister_1_rpelvis_hgb_w300,774.2354162793513,48.75756845929216,474.6644905760416,1352.3339894639305,877.669498887889,774.2354162793513,846.5442186974271,702.8242024863605
AB01,AB01_turn_and_step_1_left-turn,turn,lathigh,19.33317042928025,6.815116627020637,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lathigh_hgb_w300,679.6620929135337,216.5911325467792,-198.1942642270172,1172.3700817560523,1370.5643459830694,682.5457991770685,849.9646848068122,52.04698437967314
AB01,AB01_turn_and_step_1_left-turn,turn,rathigh,14.832838829388317,4.905763928564483,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rathigh_hgb_w300,680.9491268550161,222.73200061244464,-189.54623763878044,1175.0863109806414,1364.6325486194219,684.997848116548,857.5236155729866,34.58473705081129
