subject,trial,sensors,model_kind,window_ms,outdir
AB01,AB01_ball_toss_1_center,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_ball_toss_1_center_rpelvis_hgb_w300
AB01,AB01_ball_toss_1_left,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_ball_toss_1_left_rpelvis_hgb_w300
AB01,AB01_ball_toss_1_right,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_ball_toss_1_right_lpelvis_hgb_w300
AB01,AB01_curb_down_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_curb_down_1_kneepair_hgb_w300
AB01,AB01_curb_up_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_curb_up_1_kneepair_hgb_w300
AB01,AB01_cutting_1_right-fast,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_cutting_1_right-fast_kneepair_hgb_w300
AB01,AB01_cutting_1_right-slow,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_cutting_1_right-slow_kneepair_hgb_w300
AB01,AB01_dynamic_walk_1_heel-walk,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_heel-walk_lpelvis_hgb_w300
AB01,AB01_dynamic_walk_1_high-knees,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_dynamic_walk_1_high-knees_kneepair_hgb_w300
AB01,AB01_dynamic_walk_1_toe-walk,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_toe-walk_rpthigh_hgb_w300
AB01,AB01_incline_walk_1_down5,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_incline_walk_1_down5_lpthigh_hgb_w300
AB01,AB01_incline_walk_1_up5,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_incline_walk_1_up5_rpthigh_hgb_w300
AB01,AB01_incline_walk_2_down10,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_incline_walk_2_down10_rshank_hgb_w300
AB01,AB01_incline_walk_2_up10,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_incline_walk_2_up10_rpelvis_hgb_w300
AB01,AB01_lunges_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_lunges_1_lpthigh_hgb_w300
AB01,AB01_normal_walk_1_0-6,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_normal_walk_1_0-6_rpthigh_hgb_w300
AB01,AB01_normal_walk_1_1-2,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_normal_walk_1_1-2_lathigh_hgb_w300
AB01,AB01_normal_walk_1_1-8,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_normal_walk_1_1-8_kneepair_hgb_w300
AB01,AB01_normal_walk_1_2-5,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_normal_walk_1_2-5_kneepair_hgb_w300
AB01,AB01_normal_walk_1_shuffle,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_normal_walk_1_shuffle_rpthigh_hgb_w300
AB01,AB01_normal_walk_1_skip,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_normal_walk_1_skip_kneepair_hgb_w300
AB01,AB01_obstacle_walk_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_obstacle_walk_1_kneepair_hgb_w300
AB01,AB01_poses_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_poses_1_rpelvis_hgb_w300
AB01,AB01_push_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_push_1_lshank_hgb_w300
AB01,AB01_side_shuffle_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_side_shuffle_1_kneepair_hgb_w300
AB01,AB01_sit_to_stand_1_short-noarm,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_sit_to_stand_1_short-noarm_rathigh_hgb_w300
AB01,AB01_sit_to_stand_2_tall-noarm,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_sit_to_stand_2_tall-noarm_lpelvis_hgb_w300
AB01,AB01_squats_1_25lbs,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_squats_1_25lbs_kneepair_hgb_w300
AB01,AB01_step_ups_2_left,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_step_ups_2_left_kneepair_hgb_w300
AB01,AB01_step_ups_2_right,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_step_ups_2_right_kneepair_hgb_w300
AB01,AB01_tire_run_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_tire_run_1_kneepair_hgb_w300
AB01,AB01_tug_of_war_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_tug_of_war_1_rpelvis_hgb_w300
AB01,AB01_turn_and_step_1_left-turn,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_turn_and_step_1_left-turn_kneepair_hgb_w300
AB01,AB01_twister_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_twister_1_lpelvis_hgb_w300
AB01,AB01_walk_backward_1_0-6,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_walk_backward_1_0-6_rpthigh_hgb_w300
AB01,AB01_walk_backward_2_0-8,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_walk_backward_2_0-8_rpthigh_hgb_w300
AB01,AB01_walk_backward_2_1-0,thigh-shank,hgb,300,E:\safestride\out_grid\AB01\AB01_walk_backward_2_1-0_rpelvis_hgb_w300
AB01,AB01_weighted_walk_1_25lbs,thigh-shank,hgb,300,E:\safestride\out_grid\AB01_weighted_walk_1_25lbs_kneepair_hgb_w300
AB02,AB02_ball_toss_1_center,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_ball_toss_1_center_rshank_hgb_w300
AB02,AB02_ball_toss_1_right,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_ball_toss_1_right_rshank_hgb_w300
AB02,AB02_curb_down_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_curb_down_1_rshank_hgb_w300
AB02,AB02_curb_up_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_curb_up_1_rshank_hgb_w300
AB02,AB02_dynamic_walk_1_butt-kicks,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_dynamic_walk_1_butt-kicks_rshank_hgb_w300
AB02,AB02_dynamic_walk_1_heel-walk,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_dynamic_walk_1_heel-walk_rshank_hgb_w300
AB02,AB02_dynamic_walk_1_high-knees,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_dynamic_walk_1_high-knees_rshank_hgb_w300
AB02,AB02_dynamic_walk_1_toe-walk,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_dynamic_walk_1_toe-walk_rshank_hgb_w300
AB02,AB02_incline_walk_1_down5,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_incline_walk_1_down5_rshank_hgb_w300
AB02,AB02_incline_walk_1_up5,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_incline_walk_1_up5_rshank_hgb_w300
AB02,AB02_incline_walk_2_down10,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_incline_walk_2_down10_rshank_hgb_w300
AB02,AB02_incline_walk_2_up10,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_incline_walk_2_up10_rshank_hgb_w300
AB02,AB02_lunges_1,thigh-shank,hgb,300,E:\safestride\out_grid\AB02_lunges_1_lshank_hgb_w300
AB03,AB03_cutting_1_left-fast,thigh-shank,hgb,300,E:\safestride\out_grid\AB03_cutting_1_left-fast_kneepair_hgb_w300
AB05,AB05_cutting_1_left-fast,thigh-shank,hgb,300,E:\safestride\out_grid\AB05_cutting_1_left-fast_kneepair_hgb_w300
AB06,AB06_cutting_1_left-fast,thigh-shank,hgb,300,E:\safestride\out_grid\AB06_cutting_1_left-fast_kneepair_hgb_w300
AB07,AB07_cutting_1_left-fast,thigh-shank,hgb,300,E:\safestride\out_grid\AB07_cutting_1_left-fast_kneepair_hgb_w300
AB08,AB08_cutting_1_left-fast,thigh-shank,hgb,300,E:\safestride\out_grid\AB08_cutting_1_left-fast_kneepair_hgb_w300
AB09,AB09_cutting_1_left-fast,thigh-shank,hgb,300,E:\safestride\out_grid\AB09_cutting_1_left-fast_kneepair_hgb_w300
