subject,n_runs,rmse_mean,rmse_median,rmse_best,best_model,best_window
AB01,5192,14.726172715580896,11.556858320880576,0.0804406085127463,hgb,400
AB02,162,14.731971845256483,10.057105546291483,1.5303346676560692,rf,300
AB03,36,10.579360780999444,8.63707234571855,2.82074349637515,rf,300
AB05,5,20.01407766755757,7.177274419662193,6.500492437908186,rf,300
AB06,5,18.44130878073616,7.142400464898076,6.971096619598434,hgb,300
AB07,5,12.473029986960167,5.0670817233579255,4.72692044319271,rf,300
AB08,5,15.134694220181075,7.623645002355698,6.568255758652105,rf,300
AB09,5,11.073659465528388,7.18778498284891,6.755221164198008,hgb,400
AB10,5,12.004783781967225,5.254249954713348,4.5771729442102185,rf,300
AB11,5,12.715213996843207,6.002042260500868,5.717096624238977,rf,200
AB12,5,10.535198381865737,4.839363124334281,4.305064000844846,rf,300
