coverage,subject,task,stage
0.6269592476489029,AB03,cutting,pre
0.5833544785587415,AB01,weighted,pre
0.8679633143580012,AB01,tire,pre
0.6466706658668266,AB01,step,pre
0.6272189349112426,AB01,step,pre
0.5246953175112251,AB01,squats,pre
0.5980392156862745,AB01,side,pre
0.7032996452714009,AB01,obstacle,pre
0.46308043643745245,AB01,normal,pre
0.5917279878203502,AB01,normal,pre
0.4153768079167724,AB01,normal,pre
0.5567114945445318,AB01,dynamic,pre
0.5316091954022989,AB01,cutting,pre
0.5538028169014084,AB01,cutting,pre
0.9358041032428855,AB01,curb,pre
0.9564700285442436,AB01,curb,pre
0.6875369167158889,AB05,cutting,pre
0.7698701298701298,AB06,cutting,pre
0.4950146627565982,AB07,cutting,pre
0.6952642415923129,AB08,cutting,pre
0.7349081364829396,AB09,cutting,pre
0.6352235550708834,AB10,cutting,pre
0.7029085872576177,AB11,cutting,pre
0.6217061188030371,AB12,cutting,pre
0.8369905956112853,AB03,cutting,post_est
0.6708957117482872,AB01,weighted,post_est
0.9998418722327641,AB01,tire,post_est
0.7558488302339532,AB01,step,post_est
0.748789671866595,AB01,step,post_est
0.7203335471456062,AB01,squats,post_est
0.7698658410732714,AB01,side,post_est
0.7871628405059903,AB01,obstacle,post_est
0.566607460035524,AB01,normal,post_est
0.6302968789647297,AB01,normal,post_est
0.5085003806140573,AB01,normal,post_est
0.6064450647043897,AB01,dynamic,post_est
0.7132183908045977,AB01,cutting,post_est
0.7070422535211267,AB01,cutting,post_est
1.0,AB01,curb,post_est
1.0,AB01,curb,post_est
0.8877731836975783,AB05,cutting,post_est
0.958961038961039,AB06,cutting,post_est
0.7624633431085044,AB07,cutting,post_est
0.8702814001372684,AB08,cutting,post_est
0.9501312335958005,AB09,cutting,post_est
0.7966194111232279,AB10,cutting,post_est
0.9016620498614959,AB11,cutting,post_est
0.8280482358195623,AB12,cutting,post_est
