task,coverage,stage
weighted,0.5833544785587415,pre
turn,,pre
tire,0.8679633143580012,pre
step,0.6369448003890346,pre
squats,0.5246953175112251,pre
side,0.5980392156862745,pre
obstacle,0.7032996452714009,pre
normal,0.49006174405819164,pre
dynamic,0.5567114945445318,pre
cutting,0.6413457825910925,pre
curb,0.9461370658935646,pre
,,pre
weighted,0.7858411570667343,post_est
tire,0.8679633143580012,post_est
step,0.7946348331194439,post_est
squats,0.796023091725465,post_est
side,0.8023735810113519,post_est
obstacle,0.7862258215648217,post_est
normal,0.7919309819842679,post_est
dynamic,0.7916772392793707,post_est
cutting,0.7947045929961007,post_est
curb,0.9461370658935646,post_est
