Fx_N,Fy_N,Fz_N,Fx_BW,Fy_BW,Fz_BW
14.81159,-112.1098,925.9376,0.02013128100577642,-0.1523748555895345,1.2584948691811078
10.51592,-118.8412,879.0628,0.014292789670404349,-0.16152388718994223,1.1947846415222563
6.882374,-124.6664,831.1615,0.009354229018008834,-0.16944125042473665,1.1296792388718995
3.493418,-129.4677,781.8435,0.00474810465511383,-0.17596697247706422,1.0626483180428135
0.2085744,-132.9563,730.8502,0.0002834854230377166,-0.18070852871219845,0.9933404009514101
-2.827298,-134.7016,678.1051,-0.003842742779476724,-0.18308066598708803,0.9216515120625213
-5.339052,-134.2384,623.7712,-0.007256611620795107,-0.18245110431532452,0.8478031940197078
-7.090791,-131.1956,568.2938,-0.009637500509683997,-0.178315460414543,0.7724006795786613
-7.957525,-125.4029,512.4088,-0.010815528372409107,-0.1704422697927285,0.69644417261298
-7.895992,-116.9683,457.0939,-0.01073189534488617,-0.15897832144070675,0.6212625212368332
-6.897286,-106.3155,403.4562,-0.00937449677200136,-0.14449949031600406,0.5483604485219165
-4.997972,-94.16258,352.58,-0.006793030241250424,-0.1279817601087326,0.47921168875297315
-2.344426,-81.42628,305.3819,-0.003186443764865783,-0.11067112470268434,0.4150620455317703
0.7681958,-69.0643,262.5084,0.001044098946653075,-0.09386924906557935,0.3567902140672783
3.950055,-57.89713,224.293,0.005368746177370031,-0.07869130818892286,0.30484947332653756
6.845628,-48.46119,190.7697,0.009304285423037717,-0.06586638124362895,0.25928603465851174
9.247738,-40.93487,161.7179,0.012569130818892287,-0.05563692830445124,0.2198000679578661
11.12173,-35.15378,136.7082,0.015116180767923886,-0.04777951749915052,0.1858079510703364
12.54795,-30.69641,115.1373,0.017054638124362895,-0.041721250424736664,0.15648970438328236
13.65491,-27.00464,96.27135,0.018559170914033297,-0.03670355419639823,0.1308479102956167
14.5983,-23.51051,79.33947,0.01984138634046891,-0.031954481821270815,0.10783482161060144
15.57024,-19.75681,63.7034,0.021162405708460754,-0.026852612979952433,0.08658294257560313
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
19.47124,30.90446,51.23582,0.02646447842337751,0.042004023105674484,0.06963753992524634
25.35574,33.22481,190.9565,0.03446243968739382,0.04515774379884471,0.2595399252463473
34.12003,30.98358,389.3997,0.046374488617057424,0.042111559633027526,0.5292554536187564
46.5429,25.47376,630.7742,0.06325912334352701,0.03462284743459055,0.8573213727488956
