Fx_N,Fy_N,Fz_N,Fx_BW,Fy_BW,Fz_BW
35.01904,-23.22279,601.5124,0.04759638464152225,-0.0315634250764526,0.8175499830105334
35.19638,-24.06073,602.8451,0.047837417601087326,-0.03270231736323479,0.819361331974176
35.43814,-24.7926,604.5768,0.04816600747536527,-0.033697043832823646,0.8217149847094802
35.76328,-25.41345,606.5829,0.048607923887189944,-0.034540876656472985,0.8244415902140673
36.19445,-25.94216,608.7371,0.04919395174991506,-0.035259476724430854,0.8273694869181109
36.74311,-26.41811,610.9457,0.049939667006456,-0.03590636765205572,0.8303713217804961
37.39532,-26.88758,613.1698,0.05082612300373768,-0.036544451240231056,0.8333942235813796
38.11127,-27.39166,615.4263,0.05179921168875297,-0.037229575263336735,0.8364611620795107
38.84283,-27.96236,617.7646,0.05279351681957187,-0.038005246347264696,0.8396392796466191
39.55897,-28.62377,620.229,0.05376686374447843,-0.038904206591913015,0.8429887869520898
40.26161,-29.39166,622.8255,0.05472186204553177,-0.03994788990825688,0.8465178389398573
40.97983,-30.2696,625.5062,0.055698036017669046,-0.04114114848793748,0.8501613319741761
41.7459,-31.24588,628.1741,0.05673924566768603,-0.042468066598708804,0.8537874277947671
42.56951,-32.29535,630.7038,0.05785866123003738,-0.04389446143391097,0.8572256880733945
43.42682,-33.38545,632.9724,0.059023880394155626,-0.045376078831124704,0.8603090723751274
44.26836,-34.48108,634.8905,0.060167665647298675,-0.04686521236833163,0.862916072035338
45.03718,-35.54632,636.4227,0.06121261297995243,-0.04831304111450901,0.8649985728848114
45.68602,-36.54702,637.5894,0.06209448861705742,-0.049673149847094804,0.8665843017329256
46.18972,-37.45788,638.4466,0.06277909616038056,-0.05091115188583079,0.8677493713897384
46.55345,-38.27075,639.0514,0.06327346245327896,-0.05201597009853891,0.8685713897383621
46.81536,-38.99799,639.4266,0.06362943934760448,-0.053004403669724774,0.8690813455657492
47.03769,-39.66799,639.5416,0.06393162079510703,-0.053915039075773025,0.8692376486578322
47.28446,-40.31515,639.3168,0.06426702004757051,-0.05479463132857629,0.8689321100917431
47.59438,-40.96765,638.6478,0.06468825008494733,-0.05568148148148148,0.8680228338430173
47.96423,-41.63782,637.4365,0.0651909344206592,-0.05659234794427455,0.8663764865783214
48.35444,-42.32075,635.6202,0.06572129119945633,-0.057520557254502204,0.8639078491335371
48.7154,-43.00158,633.1945,0.06621189262657153,-0.058445912334352694,0.8606109412164458
49.02152,-43.66564,630.2273,0.06662795786612301,-0.059348474345905546,0.8565780496092423
49.295,-44.30659,626.8604,0.06699966021066939,-0.06021962623173632,0.8520019028202515
49.6055,-44.93263,623.2914,0.06742167855929324,-0.06107051308188923,0.8471510703363914
50.04398,-45.57024,619.732,0.06801764186204552,-0.061937125382262995,0.842313285762827
50.68206,-46.25992,616.3492,0.06888489296636086,-0.06287450900441727,0.8377155283724091
51.5362,-47.04083,613.2114,0.0700458036017669,-0.06393588854909955,0.8334507645259939
52.55276,-47.93038,610.2631,0.07142746856948692,-0.06514492694529392,0.8294435609921849
53.61919,-48.91138,607.3374,0.07287691471287802,-0.06647826027862726,0.8254670744138634
54.59361,-49.93731,604.2031,0.07420130479102956,-0.06787266055045871,0.8212070676180767
55.33974,-50.95367,600.6282,0.0752154128440367,-0.06925405368671424,0.8163482161060143
55.75735,-51.92007,596.4391,0.07578301053346925,-0.07056754332313965,0.8106545701664969
55.80555,-52.81721,591.5542,0.07584852191641182,-0.07178689772341149,0.8040152225620116
55.51867,-53.63965,585.9831,0.07545860686374448,-0.07290472307169556,0.7964432212028543
55.00822,-54.38828,579.7998,0.07476482500849474,-0.07392222901800884,0.7880391437308869
54.44006,-55.07036,573.1032,0.07399260618416582,-0.07484928304451241,0.7789374108053008
53.98296,-55.70181,565.977,0.07337133537206932,-0.07570752293577981,0.7692517838939857
53.7446,-56.30441,558.4649,0.07304736663268774,-0.07652655113829425,0.7590416581719334
53.72499,-56.89827,550.566,0.07302071355759429,-0.0773337003058104,0.7483058103975535
53.81103,-57.49531,542.2474,0.07313765545361876,-0.07814517159361196,0.7369995242949371
53.81331,-58.09709,533.4651,0.07314075433231397,-0.07896308528712198,0.725062996941896
53.52671,-58.69649,524.182,0.07275121984369691,-0.07977776418620455,0.7124458036017669
52.79274,-59.27915,514.381,0.0717536391437309,-0.08056969079170914,0.6991247026843357
51.54831,-59.82182,504.0645,0.07006226299694189,-0.08130726469588856,0.6851029561671763
49.85069,-60.29063,493.244,0.06775493034318722,-0.08194445124023106,0.6703961943594972
47.86889,-60.64531,481.9261,0.06506135236153585,-0.0824265171593612,0.6550133876996262
45.83585,-60.85119,470.0981,0.062298131158681616,-0.08270634046890928,0.6389372748895684
43.97074,-60.89302,457.7193,0.059763153244988106,-0.08276319401970778,0.6221125382262996
42.39899,-60.78198,444.7177,0.05762689772341148,-0.08261227319062181,0.6044413183826027
41.1055,-60.55093,431.0007,0.0558688413183826,-0.08229823989126742,0.585797757390418
39.94425,-60.2395,416.4744,0.05429051987767584,-0.08187495752633367,0.5660542303771662
38.70051,-59.8778,401.0666,0.05260008154943935,-0.08138335032279986,0.5451126061841658
37.1755,-59.476,384.7448,0.05052735304111451,-0.0808372409106354,0.522928712198437
35.25394,-59.01795,367.5229,0.04791565069656813,-0.08021467889908257,0.4995214407067618
32.92729,-58.45368,349.4578,0.044753367312266396,-0.07944774719673801,0.47496812776078834
30.27138,-57.69497,330.6393,0.04114356778797146,-0.07841654094461434,0.44939082568807337
27.39902,-56.62512,311.1836,0.03723957866123004,-0.07696244648318043,0.42294746856948695
24.41534,-55.12575,291.2304,0.03318428814135236,-0.07492456676860346,0.3958279306829765
21.39461,-53.10856,270.9393,0.02907864084267754,-0.07218288820931022,0.36824913353720695
18.38174,-50.53827,250.4816,0.024983676520557257,-0.06868945973496432,0.34044390078151543
15.40921,-47.44435,230.0299,0.02094354060482501,-0.06448433571185865,0.31264682296975876
12.51553,-43.92468,209.7513,0.017010574243968738,-0.0597005504587156,0.2850850152905199
9.755325,-40.13642,189.8095,0.013259021406727828,-0.05455170914033299,0.2579809717974856
